"","TrainNo","AvgDelay"
"974","12365",41
"975","12366",25
"976","15125",21
"977","15126",40
"978","20947",9
"979","20948",0
"980","20949",0
"981","20950",14
"982","82355",94
"983","82356",114
"984","11099",70
"985","12583",105
"986","12584",162
"987","12931",21
"988","12932",14
"989","12985",14
"990","12986",8
"991","22625",18
"992","22626",22
"993","22707",29
"994","22708",85
"995","04279",63
"996","04282",34
"997","04359",35
"998","04360",40
"999","04599",53
"1000","04600",19
"1001","04743",33
"1002","04744",29
"1003","04745",52
"1004","04746",35
"1005","06429",20
"1006","06430",17
"1007","06534",3
"1008","07329",41
"1009","07330",35
"1010","11109",112
"1011","11110",130
"1012","11265",104
"1013","11266",109
"1014","11651",134
"1015","11652",120
"1016","12119",15
"1017","12120",20
"1018","12127",13
"1019","12128",14
"1020","12169",16
"1021","12170",20
"1022","12179",27
"1023","12180",29
"1024","12195",24
"1025","12196",25
"1026","12197",53
"1027","12198",34
"1028","12363",70
"1029","12364",69
"1030","12383",14
"1031","12384",13
"1032","12411",19
"1033","12412",15
"1034","12415",22
"1035","12416",34
"1036","12459",46
"1037","12460",72
"1038","12481",44
"1039","12482",18
"1040","12527",16
"1041","12528",36
"1042","12529",116
"1043","12530",85
"1044","12531",55
"1045","12532",49
"1046","12677",17
"1047","12678",35
"1048","12679",15
"1049","12680",11
"1050","12705",28
"1051","12706",46
"1052","12743",37
"1053","12744",26
"1054","12795",13
"1055","12796",12
"1056","12855",122
"1057","12856",196
"1058","12891",59
"1059","12892",95
"1060","12893",35
"1061","12894",69
"1062","12929",13
"1063","12930",13
"1064","12935",12
"1065","12936",14
"1066","12991",10
"1067","12992",11
"1068","13011",49
"1069","13012",23
"1070","13225",74
"1071","13226",45
"1072","13227",40
"1073","13228",21
"1074","13233",13
"1075","13234",17
"1076","13235",19
"1077","13236",19
"1078","13241",60
"1079","13242",50
"1080","13243",31
"1081","13244",19
"1082","13249",17
"1083","13250",37
"1084","13303",10
"1085","13304",11
"1086","13305",20
"1087","13306",20
"1088","13319",12
"1089","13320",30
"1090","13331",25
"1091","13332",22
"1092","13343",0
"1093","13344",0
"1094","13345",0
"1095","13346",0
"1096","13401",15
"1097","13402",12
"1098","13409",40
"1099","13410",25
"1100","13465",22
"1101","13466",29
"1102","14101",95
"1103","14102",37
"1104","14109",29
"1105","14110",28
"1106","14123",35
"1107","14124",38
"1108","14203",95
"1109","14204",77
"1110","14209",30
"1111","14210",25
"1112","14211",54
"1113","14212",84
"1114","14213",254
"1115","14214",105
"1116","14315",67
"1117","14316",54
"1118","14323",53
"1119","14324",42
"1120","14521",91
"1121","14522",52
"1122","14525",25
"1123","14526",12
"1124","14681",40
"1125","14682",28
"1126","14705",9
"1127","14706",12
"1128","14711",61
"1129","14712",39
"1130","14819",24
"1131","14820",17
"1132","15059",61
"1133","15060",25
"1134","15069",69
"1135","15070",55
"1136","15081",28
"1137","15082",27
"1138","15103",58
"1139","15104",58
"1140","15105",24
"1141","15106",31
"1142","15107",22
"1143","15108",83
"1144","15111",37
"1145","15112",118
"1146","15201",60
"1147","15202",47
"1148","15215",26
"1149","15216",62
"1150","15463",39
"1151","15464",40
"1152","15549",51
"1153","15550",44
"1154","15555",19
"1155","15556",44
"1156","15603",18
"1157","15604",30
"1158","15713",18
"1159","15714",106
"1160","15719",14
"1161","15720",11
"1162","15767",0
"1163","15768",70
"1164","15769",35
"1165","15770",122
"1166","15771",0
